rank,surface,count,share,cum_share,tags
756,으셨다는,8,1.293315145011344e-06,0.9996550081850683,
757,답니당,8,1.293315145011344e-06,0.9996563015002132,
758,는다면서,8,1.293315145011344e-06,0.9996575948153582,
759,노라니,8,1.293315145011344e-06,0.9996588881305033,
760,앴,8,1.293315145011344e-06,0.9996601814456483,
761,논,8,1.293315145011344e-06,0.9996614747607933,
762,지마는,8,1.293315145011344e-06,0.9996627680759383,
763,시여,8,1.293315145011344e-06,0.9996640613910833,
764,다고들,8,1.293315145011344e-06,0.9996653547062283,
765,으라며,8,1.293315145011344e-06,0.9996666480213733,
766,이웨,8,1.293315145011344e-06,0.9996679413365184,
767,오레,8,1.293315145011344e-06,0.9996692346516634,
768,어서라도,8,1.293315145011344e-06,0.9996705279668083,
769,이소,8,1.293315145011344e-06,0.9996718212819534,
770,마고,8,1.293315145011344e-06,0.9996731145970984,
771,긋,8,1.293315145011344e-06,0.9996744079122434,
772,윰,8,1.293315145011344e-06,0.9996757012273884,
773,하며,8,1.293315145011344e-06,0.9996769945425334,
774,잖나,8,1.293315145011344e-06,0.9996782878576784,
775,러서,8,1.293315145011344e-06,0.9996795811728234,
776,는가요,8,1.293315145011344e-06,0.9996808744879685,
777,는고,8,1.293315145011344e-06,0.9996821678031135,
778,읍,8,1.293315145011344e-06,0.9996834611182585,
779,더이다,8,1.293315145011344e-06,0.9996847544334034,
780,셨으리라,7,1.1316507518849259e-06,0.9996858860841553,
781,랍시고,7,1.1316507518849259e-06,0.9996870177349072,
782,느냐고요,7,1.1316507518849259e-06,0.9996881493856591,
783,대서,7,1.1316507518849259e-06,0.999689281036411,
784,슴다,7,1.1316507518849259e-06,0.9996904126871629,
785,으냐고,7,1.1316507518849259e-06,0.9996915443379147,
786,더구나,7,1.1316507518849259e-06,0.9996926759886667,
787,즉,7,1.1316507518849259e-06,0.9996938076394186,
788,지로,7,1.1316507518849259e-06,0.9996949392901705,
