rank,surface,count,share,cum_share,tags
436,마냥,35,5.638606864568879e-06,0.9986905543829938,
437,얼,35,5.638606864568879e-06,0.9986961929898585,
438,당,35,5.638606864568879e-06,0.998701831596723,
439,이여,34,5.477503811295483e-06,0.9987073091005343,
440,으리라고,34,5.477503811295483e-06,0.9987127866043456,
441,셨으며,34,5.477503811295483e-06,0.9987182641081569,
442,습니당,34,5.477503811295483e-06,0.9987237416119682,
443,데요,34,5.477503811295483e-06,0.9987292191157795,
444,라고도,34,5.477503811295483e-06,0.9987346966195907,
445,설,34,5.477503811295483e-06,0.998740174123402,
446,엣,33,5.316400758022086e-06,0.9987454905241601,
447,치고,33,5.316400758022086e-06,0.9987508069249181,
448,다네,33,5.316400758022086e-06,0.9987561233256761,
449,라고요,33,5.316400758022086e-06,0.9987614397264342,
450,제,32,5.15529770474869e-06,0.9987665950241389,
451,나이까,32,5.15529770474869e-06,0.9987717503218436,
452,다간,32,5.15529770474869e-06,0.9987769056195483,
453,느라고,32,5.15529770474869e-06,0.9987820609172531,
454,부턴,32,5.15529770474869e-06,0.9987872162149579,
455,몬,31,4.994194651475293e-06,0.9987922104096093,
456,먼,31,4.994194651475293e-06,0.9987972046042608,
457,사주,31,4.994194651475293e-06,0.9988021987989123,
458,리오,31,4.994194651475293e-06,0.9988071929935638,
459,웨,31,4.994194651475293e-06,0.9988121871882153,
460,하구,31,4.994194651475293e-06,0.9988171813828667,
461,어용,31,4.994194651475293e-06,0.9988221755775182,
462,로다,31,4.994194651475293e-06,0.9988271697721697,
463,렴,31,4.994194651475293e-06,0.9988321639668212,
464,담,31,4.994194651475293e-06,0.9988371581614727,
465,였음이,30,4.833091598201897e-06,0.9988419912530708,
466,려니와,30,4.833091598201897e-06,0.998846824344669,
467,ㄹ,30,4.833091598201897e-06,0.9988516574362672,
468,잘,30,4.833091598201897e-06,0.9988564905278654,
469,나다,30,4.833091598201897e-06,0.9988613236194637,
470,한테서,30,4.833091598201897e-06,0.9988661567110618,
471,오며,29,4.6719885449285e-06,0.9988708286996067,
472,리로다,29,4.6719885449285e-06,0.9988755006881517,
473,인,29,4.6719885449285e-06,0.9988801726766966,
474,다더라,29,4.6719885449285e-06,0.9988848446652415,
475,고선,29,4.6719885449285e-06,0.9988895166537864,
476,샬,29,4.6719885449285e-06,0.9988941886423314,
477,더라는,28,4.510885491655103e-06,0.9988986995278231,
478,으려나,28,4.510885491655103e-06,0.9989032104133148,
479,자며,28,4.510885491655103e-06,0.9989077212988063,
480,으로선,28,4.510885491655103e-06,0.998912232184298,
481,그,27,4.349782438381707e-06,0.9989165819667364,
482,꼬,27,4.349782438381707e-06,0.9989209317491748,
483,였으면,27,4.349782438381707e-06,0.9989252815316132,
484,신지,26,4.18867938510831e-06,0.9989294702109983,
485,린,26,4.18867938510831e-06,0.9989336588903834,
486,그레,26,4.18867938510831e-06,0.9989378475697684,
487,자구요,26,4.18867938510831e-06,0.9989420362491536,
488,구만,26,4.18867938510831e-06,0.9989462249285387,
489,이요,25,4.027576331834914e-06,0.9989502525048706,
490,실까,25,4.027576331834914e-06,0.9989542800812024,
491,릿,25,4.027576331834914e-06,0.9989583076575342,
492,으셨을,25,4.027576331834914e-06,0.998962335233866,
493,라우,25,4.027576331834914e-06,0.9989663628101979,
494,다구,25,4.027576331834914e-06,0.9989703903865297,
495,징,25,4.027576331834914e-06,0.9989744179628616,
496,으신다면,24,3.866473278561518e-06,0.9989782844361401,
497,라던가,24,3.866473278561518e-06,0.9989821509094187,
498,더,24,3.866473278561518e-06,0.9989860173826972,
499,라던지,24,3.866473278561518e-06,0.9989898838559758,
500,실지,24,3.866473278561518e-06,0.9989937503292544,
501,니이다,24,3.866473278561518e-06,0.998997616802533,
502,은즉,24,3.866473278561518e-06,0.9990014832758115,
503,아서요,24,3.866473278561518e-06,0.99900534974909,
